entity_type,id,name,parent_tm,status,changed_fields
TM,7,BAYRAMHACILI HES,,unchanged,
TM,9,AYANCIK,,unchanged,
TM,18,ILICA ZEKİ GÜRGEN,,unchanged,
TM,19,ERZURUM,,unchanged,
TM,20,ERZİNCAN,,unchanged,
TM,21,ERGAN,,unchanged,
TM,22,KUZGUN HES,,unchanged,
TM,23,BAYBURT,,unchanged,
TM,24,GÜMÜŞHANE,,unchanged,
TM,25,AŞKALE,,unchanged,
TM,26,AĞRI1,,unchanged,
TM,27,AĞRI2,,unchanged,
TM,28,DOĞUBAYAZIT,,unchanged,
TM,29,HINIS,,unchanged,
TM,30,HORASAN,,unchanged,
TM,31,IĞDIR,,unchanged,
TM,33,REFAHİYE,,unchanged,
TM,34,TERCAN,,unchanged,
TM,35,AŞKALE ÇİMENTO,,unchanged,
TM,36,KARS,,unchanged,
TM,37,BABEK (NAHCİVAN),,unchanged,
TM,38,KÖYLÜKÖY,,unchanged,
TM,39,ERCİŞ,,unchanged,
TM,41,BALIKESİR,,unchanged,
TM,42,ADANA,,unchanged,
TM,43,BALIKESİR SEKA,,unchanged,
TM,44,BANDIRMA,,unchanged,
TM,45,MANYAS,,unchanged,
TM,46,ERZİN,,unchanged,
TM,48,SELİMİYE,,unchanged,
TM,50,VARSAK,,unchanged,
TM,51,ÇANAKKALE,,unchanged,
TM,53,ÇANAKKALE ÇİMENTO,,unchanged,
TM,55,OYMAPINAR,,unchanged,
TM,56,DAVUTPAŞA,,unchanged,
TM,57,YILDIZTEPE,,unchanged,
TM,58,ADİLCEVAZ,,unchanged,
TM,59,VAN2,,unchanged,
TM,60,ANTAKYA2,,unchanged,
TM,61,ANTALYA SERBEST BÖLGE,,unchanged,
TM,62,DODAN,,unchanged,
TM,64,HATAY,,unchanged,
TM,65,ÇAN TES,,unchanged,
TM,66,BAŞKALE,,unchanged,
TM,68,ASLANTAŞ HES,,unchanged,
TM,69,GÖBEL,,unchanged,
TM,70,GÖNEN,,unchanged,
TM,71,ERDEK,,unchanged,
TM,72,BAHÇE,,unchanged,
TM,73,ALTINOLUK,,unchanged,
TM,74,BERKE HES,,unchanged,
TM,75,İÇDAŞ,,unchanged,
TM,76,CEYHAN1,,unchanged,
TM,77,BAĞIŞLI,,unchanged,
TM,78,ÜMRANİYE,,unchanged,
TM,79,CEYHAN2,,unchanged,
TM,80,HAKKARİ,,unchanged,
TM,81,CİHADİYE,,updated,Rakım (m)
TM,82,TATVAN,,unchanged,
TM,83,TEPEÖREN,,unchanged,
TM,84,MUŞ,,unchanged,
TM,85,BANDIRMA RES,,updated,Adı
TM,86,PAŞAKÖY,,unchanged,
TM,87,İKİZLER,,unchanged,
TM,89,KRALKIZI HES,,unchanged,
TM,90,ADAPAZARI,,unchanged,
TM,91,İSKENDERUN1,,unchanged,
TM,93,ADA1 DGKÇS,,unchanged,
TM,94,ADA2 DGKÇS,,unchanged,
TM,95,ETİFOSFAT,,unchanged,
TM,96,HYUNDAI,,unchanged,
TM,97,KEMER ANTALYA,,unchanged,
TM,98,ÖZLÜCE HES,,unchanged,
TM,99,GÖZTEPE,,unchanged,
TM,100,BİNGÖL,,unchanged,
TM,101,İSKENDERUN2,,unchanged,
TM,102,KÜÇÜKBAKKALKÖY,,unchanged,
TM,103,SERİK,,unchanged,
TM,105,DİCLE HES,,unchanged,
TM,106,BÜYÜKBAKKALKÖY,,unchanged,
TM,107,İSKENDERUN3,,unchanged,
TM,108,SOĞANLIK,,unchanged,
TM,109,KAŞ,,unchanged,
TM,110,KARTAL GİS,,unchanged,
TM,112,ÇIRÇIP,,unchanged,
TM,113,TUZLA,,unchanged,
TM,115,FİNİKE,,unchanged,
TM,116,KROMAN ÇELİK,,unchanged,
TM,117,KEBAN TM,,unchanged,
TM,118,GAZİPAŞA,,unchanged,
TM,119,ÇOLAKOĞLU,,unchanged,
TM,120,MARDİN1,,unchanged,
TM,121,İÇMELER,,unchanged,
TM,122,KEPEZ 1 HES,,unchanged,
TM,124,EDREMİT,,unchanged,
TM,125,ŞIRNAK,,unchanged,
TM,126,KADİRLİ,,unchanged,
TM,127,BİGADİÇ,,unchanged,
TM,128,GEBZE OSB,,unchanged,
TM,130,DURSUNBEY,,unchanged,
TM,131,MANAVGAT,,unchanged,
TM,132,KURTKÖY,,unchanged,
TM,133,MANİSA SALİH KOCABEKİR,,unchanged,
TM,134,SOMA B TES,,unchanged,
TM,135,DUDULLU,,unchanged,
TM,136,AKÇALAR,,unchanged,
TM,137,PS3,,unchanged,
TM,139,MANAVGAT HES,,unchanged,
TM,140,YARIMCA1,,unchanged,
TM,141,DEMİRTAŞ,,unchanged,
TM,142,ELBİSTAN TES,,unchanged,
TM,143,KOZAN,,unchanged,
TM,146,PS3/A,,unchanged,
TM,147,ALAŞEHİR,,unchanged,
TM,148,YENİŞEHİR,,unchanged,
TM,149,MİSİS,,unchanged,
TM,150,AYVALIK,,unchanged,
TM,151,PS4,,unchanged,
TM,152,BERGAMA,,unchanged,
TM,153,OSMANİYE,,unchanged,
TM,154,İNEGÖL,,unchanged,
TM,155,DEMİRKÖPRÜ HES,,unchanged,
TM,156,SALİHLİ,,unchanged,
TM,157,PAŞALAR,,unchanged,
TM,158,SİİRT1,,unchanged,
TM,159,DERBENT,,unchanged,
TM,160,BİLORSA,,unchanged,
TM,161,SARUHANLI,,unchanged,
TM,162,ŞİLE,,unchanged,
TM,163,SÖĞÜT,,unchanged,
TM,164,ALANYA,,unchanged,
TM,165,BOZÜYÜK,,unchanged,
TM,166,İZMİT,,unchanged,
TM,167,KUYUCAK RES,,unchanged,
TM,168,DDY OSMANİYE,,unchanged,
TM,169,ESKİŞEHİR1,,removed-from-source,
TM,170,ENERJİSA ÇANAKKALE RES,,unchanged,
TM,171,ENERJİSA KÖSEKÖY,,unchanged,
TM,172,ESKİŞEHİR2,,unchanged,
