entity_type,id,name,parent_tm,status,changed_fields
TM,169,ESKİŞEHİR1,,removed-from-source,
TM,211,KÜTAHYA,,removed-from-source,
TM,264,KARAMÜRSEL,,removed-from-source,
TM,357,NARLI,,removed-from-source,
TM,708,KIRKLARELİ DGKÇ,,removed-from-source,
TM,867,KARADENİZ EREĞLİ,,removed-from-source,
TM,1305,BANAZ SANAL,,removed-from-source,
TM,2309,TARSUS MOBİL,,removed-from-source,
TM,2310,TARSUS MOBİL SANAL,,removed-from-source,
TM,2503,KARAMÜRSEL (YENİ),,removed-from-source,
TM,2662,OVACIK SANAL,,removed-from-source,
TM,2668,NARLI MOBİL SANAL,,removed-from-source,
TM,2670,MORSAN SANAL,,removed-from-source,
Bara,4058,154 B-1,KÜTAHYA,removed-from-source,
Bara,4060,TR-A-B,KÜTAHYA,removed-from-source,
Bara,4312,154 B-1,KARAMÜRSEL,removed-from-source,
Bara,4316,TR-A,KARAMÜRSEL,removed-from-source,
Bara,4319,TR-B,KARAMÜRSEL,removed-from-source,
Bara,4724,154 B-1,KARADENİZ EREĞLİ,removed-from-source,
Bara,4726,66 B-1,KARADENİZ EREĞLİ,removed-from-source,
Bara,4732,TR-A,KARADENİZ EREĞLİ,removed-from-source,
Bara,5480,154 B-1,KIRKLARELİ DGKÇ,removed-from-source,
Bara,5481,154 B-2,KIRKLARELİ DGKÇ,removed-from-source,
Bara,6427,154 B-T,KÜTAHYA,removed-from-source,
Bara,6440,66 B-T,KARADENİZ EREĞLİ,removed-from-source,
Bara,7032,TR-E,BEYLİKDÜZÜ,removed-from-source,
Bara,7528,TR-B,KARADENİZ EREĞLİ,removed-from-source,
Bara,9722,TR-B,YILFERT,removed-from-source,
Bara,9877,154 B-1,TARSUS MOBİL,removed-from-source,
Bara,9878,MOBİL TR,TARSUS MOBİL,removed-from-source,
Bara,106237,154 B-1,KARAMÜRSEL (YENİ),removed-from-source,
Bara,106248,TR-A,KARAMÜRSEL (YENİ),removed-from-source,
Bara,108476,154 B1 (MOB),NARLI,removed-from-source,
Bara,108485,MOBİL TR,NARLI,removed-from-source,
Bara,108540,BTNKÖŞK BARA,NARLI,removed-from-source,
Bara,108541,MBLKÖŞK BARA,NARLI,removed-from-source,
Bara,110029,MOBİL TR B,TARSUS MOBİL,removed-from-source,
Hat,2044,154kV DİYARBAKIR3 - DİYARBAKIR4 - I EİH,,removed-from-source,
Hat,2592,154kV GÜRAĞAÇ - KÜTAHYA EİH,,removed-from-source,
Hat,2700,154kV KÜTAHYA - ETİ GÜMÜŞ EİH,,removed-from-source,
Hat,2739,154kV İKİZLER - OSMANİYE OSB EİH,,removed-from-source,
Hat,2748,154kV ERZİN - OSMANİYE - II EİH,,removed-from-source,
Hat,2975,154kV EDİRNE ÇİMENTO - KIRKLARELİ EİH,,removed-from-source,
Hat,2977,154kV KIRKLARELİ - KIRKLARELİ DGKÇ EİH,,removed-from-source,
Hat,3122,154kV MERSİN2 - ERDEMLİ - II EİH,,removed-from-source,
Hat,3455,154kV FORD - KARAMÜRSEL EİH,,removed-from-source,
Hat,3779,154kV AYANCIK - BOZKURT HAVZA EİH,,removed-from-source,
Hat,4027,154kV UŞAK RES -> BANAZ - UŞAK OSB EİH,,removed-from-source,
Hat,4569,154kV KÜÇÜKBAKKALKÖY - KADIKÖY EİH,,removed-from-source,
